node_id,x,y,degree,degree_centrality,betweenness_centrality,node_type
73031,779245.047058,1428200.420231,4,2.9663907923229807e-05,0.07128108453169373,endpoint
6996,780648.296391,1429369.34269,3,2.2247930942422355e-05,0.07115181131493525,endpoint
18182,780753.46701,1429374.467521,3,2.2247930942422355e-05,0.07113034106787067,intersection
18180,780926.439903,1429372.130539,3,2.2247930942422355e-05,0.07111821217396731,intersection
52879,775550.109986,1431140.978994,4,2.9663907923229807e-05,0.07076012090254606,endpoint
25840,775108.110589,1433447.242347,4,2.9663907923229807e-05,0.07073761026209636,intersection
39993,776570.380144,1434014.000977,4,2.9663907923229807e-05,0.0707200869821575,intersection
39658,776694.975609,1434017.968414,4,2.9663907923229807e-05,0.07063545225161098,intersection
26484,775175.509519,1433381.877564,3,2.2247930942422355e-05,0.07062224454521128,endpoint
25841,775170.983003,1433386.171859,2,1.4831953961614903e-05,0.07061740159199016,endpoint
6091,786111.063975,1436729.518208,3,2.2247930942422355e-05,0.07028183392594457,endpoint
88186,775202.518879,1431342.714429,4,2.9663907923229807e-05,0.07022625673535358,intersection
27495,780271.671534,1440163.094744,4,2.9663907923229807e-05,0.07003885504368133,intersection
64986,775706.698603,1431029.669121,3,2.2247930942422355e-05,0.07003863579191251,endpoint
80203,779939.459925,1431546.840144,6,4.449586188484471e-05,0.06997803506740147,intersection
34955,775750.709543,1430998.635627,3,2.2247930942422355e-05,0.06988207211395808,endpoint
91412,775855.733488,1430920.343761,3,2.2247930942422355e-05,0.06980319043541604,endpoint
23762,784733.696391,1442874.038096,3,2.2247930942422355e-05,0.06942090130600242,endpoint
76115,789193.578185,1438143.845865,4,2.9663907923229807e-05,0.06939924981967908,intersection
26419,775855.742004,1430914.023146,3,2.2247930942422355e-05,0.0693175522601621,endpoint
106955,779976.666559,1429692.715993,4,2.9663907923229807e-05,0.06925409223669118,endpoint
91466,784629.426741,1443017.449713,3,2.2247930942422355e-05,0.06921924135236625,intersection
108432,784775.899784,1442821.259539,2,1.4831953961614903e-05,0.06915439739771517,endpoint
106851,781995.681063,1437516.705087,3,2.2247930942422355e-05,0.06913652001263097,endpoint
378,776008.53087,1433448.885792,4,2.9663907923229807e-05,0.06906670049530479,intersection
379,775913.916489,1433392.938963,3,2.2247930942422355e-05,0.06904895145877096,intersection
104336,783783.18775,1429331.951162,4,2.9663907923229807e-05,0.06893780229308732,intersection
1336,780337.616279,1434557.655937,4,2.9663907923229807e-05,0.06879716809530134,endpoint
49924,782940.123095,1435834.675743,4,2.9663907923229807e-05,0.06878864968272592,endpoint
1117,781998.756407,1437525.968917,3,2.2247930942422355e-05,0.06861063646720297,endpoint
9437,780200.370222,1434569.971293,3,2.2247930942422355e-05,0.06850251830167486,endpoint
9453,780164.655034,1434569.609897,3,2.2247930942422355e-05,0.06848884118036655,endpoint
9452,779987.520372,1434522.98513,2,1.4831953961614903e-05,0.0683848259553026,endpoint
80036,787267.747415,1437195.447613,4,2.9663907923229807e-05,0.06822030247484348,endpoint
66714,780324.456472,1434558.862165,3,2.2247930942422355e-05,0.06818614225370724,intersection
9435,780278.554629,1434563.080071,3,2.2247930942422355e-05,0.06818473320763145,endpoint
9431,780222.642753,1434567.307443,3,2.2247930942422355e-05,0.06816997443081266,endpoint
50445,781678.960648,1437912.018512,4,2.9663907923229807e-05,0.06687357053576923,endpoint
80464,781631.89418,1437924.457348,3,2.2247930942422355e-05,0.06687219816522509,endpoint
2923,781872.919348,1437788.473542,3,2.2247930942422355e-05,0.06686958944577084,endpoint
1228,778083.638309,1434315.432196,4,2.9663907923229807e-05,0.06686817865523652,intersection
104333,783784.125453,1429342.06281,4,2.9663907923229807e-05,0.06673446770762051,intersection
24984,781302.462992,1439179.242513,4,2.9663907923229807e-05,0.0666667598165349,intersection
5461,780592.93723,1429370.488511,4,2.9663907923229807e-05,0.06648888631451298,endpoint
80253,784335.111451,1429365.420389,4,2.9663907923229807e-05,0.0664255670790061,intersection
104334,784306.662478,1429352.601629,2,1.4831953961614903e-05,0.06642323102893305,endpoint
50441,781594.543174,1437930.54146,4,2.9663907923229807e-05,0.06641418529836242,endpoint
129594,780585.824847,1429370.472057,4,2.9663907923229807e-05,0.06638175134188752,endpoint
129596,780368.838117,1429374.226857,2,1.4831953961614903e-05,0.06634751306875745,intersection
129595,780391.28875,1429373.689519,2,1.4831953961614903e-05,0.06634687034598605,intersection
78764,781492.360519,1438566.237684,4,2.9663907923229807e-05,0.06619110320546273,intersection
52761,776481.507456,1433723.521908,3,2.2247930942422355e-05,0.06613691980024995,endpoint
53525,781604.185468,1438136.852631,4,2.9663907923229807e-05,0.06610920669676708,endpoint
40026,776272.142385,1433668.232971,4,2.9663907923229807e-05,0.06610327451951412,intersection
105,780796.505827,1434996.137275,3,2.2247930942422355e-05,0.0660712687169029,endpoint
39992,776569.606175,1433980.607305,3,2.2247930942422355e-05,0.06595706192132487,intersection
79360,780989.487444,1429376.746612,4,2.9663907923229807e-05,0.06591764183729573,intersection
50440,781605.394658,1437968.212761,2,1.4831953961614903e-05,0.06588611659709782,endpoint
50446,781619.459112,1437993.130924,2,1.4831953961614903e-05,0.06588279588935958,endpoint
39989,776602.183507,1433747.197738,3,2.2247930942422355e-05,0.06580933469677056,endpoint
25017,780851.342671,1434967.269641,4,2.9663907923229807e-05,0.06577398581222511,intersection
24983,781299.20365,1439190.168624,4,2.9663907923229807e-05,0.0657660132442126,intersection
39991,776569.711153,1433974.442581,3,2.2247930942422355e-05,0.06572911234775657,intersection
80220,779944.943192,1431143.166666,3,2.2247930942422355e-05,0.06556223902510899,endpoint
121755,779943.9884,1431213.07425,3,2.2247930942422355e-05,0.06550444382624308,intersection
80201,779940.133983,1431497.242905,3,2.2247930942422355e-05,0.06548442112705401,endpoint
119284,779941.329875,1431408.828937,3,2.2247930942422355e-05,0.06548243363048392,endpoint
80219,779950.49288,1430901.86657,4,2.9663907923229807e-05,0.0653924863370293,intersection
121013,784337.379356,1429369.208845,4,2.9663907923229807e-05,0.06522600965758853,intersection
68395,781323.716987,1429365.637735,4,2.9663907923229807e-05,0.06520755863832964,intersection
6090,785824.629417,1436683.159549,3,2.2247930942422355e-05,0.06487574372291897,intersection
6088,785725.412661,1436671.58395,3,2.2247930942422355e-05,0.06481079069207228,intersection
6089,785756.554811,1436675.215846,3,2.2247930942422355e-05,0.0648089994351176,intersection
81025,784452.447126,1429608.276297,3,2.2247930942422355e-05,0.06459957185945767,endpoint
104476,781109.648635,1436028.115958,3,2.2247930942422355e-05,0.06456536387284108,endpoint
9173,781068.679423,1435775.713496,3,2.2247930942422355e-05,0.06454906205571118,endpoint
9169,781135.590583,1435906.79788,3,2.2247930942422355e-05,0.06452944223585315,endpoint
108377,781126.472754,1435915.195901,3,2.2247930942422355e-05,0.06448933094413735,endpoint
18184,780598.270172,1429370.365233,2,1.4831953961614903e-05,0.06444918369270973,endpoint
66560,777029.433215,1440261.413446,4,2.9663907923229807e-05,0.06439240824147627,intersection
129897,775237.603207,1433272.219863,3,2.2247930942422355e-05,0.06435016548353273,endpoint
84284,784403.222628,1429453.630557,4,2.9663907923229807e-05,0.06422735966819496,intersection
125724,784447.699869,1429524.230096,4,2.9663907923229807e-05,0.0642074580809731,intersection
18488,784452.531135,1429601.183146,4,2.9663907923229807e-05,0.06416954337330119,intersection
66694,789570.423548,1438323.470257,3,2.2247930942422355e-05,0.06410706984964536,endpoint
53203,790343.524649,1438699.831086,4,2.9663907923229807e-05,0.06409197097865657,intersection
76108,789477.513961,1438281.291047,3,2.2247930942422355e-05,0.06407765809713244,intersection
